序号,高校名称,软科排名（2025）,高校名称（英文）,类型,是否进行AIGC查重,tool_specified,check_framework,linked_to_pass
39,南京航空航天大学,36,Nanjing University of Aeronautics and Astronautics,理工,是,0,1,1
40,东北大学,37,Northeastern University,理工,否,0,0,0
41,南京理工大学,38,Nanjing University of Science and Technology,理工,否,0,0,0
42,兰州大学,39,Lanzhou University,综合,否,0,0,0
44,西安电子科技大学 ,40,Xidian University,理工,是,0,1,0
45,上海科技大学,41,ShanghaiTech University,综合,否,0,0,0
46,北京交通大学,42,Beijing Jiaotong University,理工,是,0,1,0
47,哈尔滨工程大学,43,Harbin Engineering University,理工,否,0,0,0
48,华东理工大学,44,East China University of Science and Technology,理工,否,0,0,0
49,东北师范大学,45,Northeast Normal University,师范,否,0,0,0
52,苏州大学,46,Soochow University,综合,否,0,0,0
53,华中农业大学,47,Huazhong Agricultural University,农业,否,0,0,0
54,武汉理工大学,48,Wuhan University of Technology,理工,否,0,0,0
55,中国石油大学（北京）,49,"China University of Petroleum, Beijing",理工,否,0,0,0
56,郑州大学,50,Zhengzhou University,综合,否,0,0,0
57,江南大学,51,Jiangnan University,综合,否,0,0,0
58,西南交通大学,52,Southwest Jiaotong University,理工,是,1,1,1
60,南京农业大学,53,Nanjing Agricultural University,农业,否,0,0,0
61,中国地质大学（武汉）,54,China University of Geosciences,理工,是,0,1,1
63,暨南大学,55,Jinan University,综合,否,0,0,0
64,华中师范大学,56,Central China Normal University,师范,否,0,0,0
65,中国海洋大学,56,Ocean University of China,综合,否,0,0,0
67,南京师范大学,58,Nanjing Normal University,师范,否,0,0,0
68,中国矿业大学,59,China University of Mining and Technology,理工,否,0,0,0
71,北京邮电大学,60,Beijing University of Posts and Telecommunications,理工,否,0,0,0
72,上海大学,61,Shanghai University,综合,否,0,0,0
74,浙江工业大学,62,Zhejiang University of Technology,理工,否,0,0,0
76,北京化工大学,63,Beijing University of Chemical Technology,理工,否,0,0,0
77,河海大学,64,Hohai University,理工,否,0,0,0
78,陕西师范大学,65,Shaanxi Normal University,师范,否,0,0,0
80,西南大学,66,Southwest University,综合,是,0,1,0
81,中国石油大学（华东）,67,China University of Petroleum (East China),理工,否,0,0,0
82,深圳大学,68,Shenzhen University,理工,否,0,0,0
84,云南大学,69,Yunnan University,综合,否,0,0,0
85,西北大学,70,Northwest University,综合,否,0,0,0
86,西北农林科技大学,71,Northwest A&F University,农业,是,1,1,1
87,北京工业大学,72,Beijing University of Technology,理工,是,0,1,1
88,南昌大学,73,Nanchang University,综合,否,0,0,0
90,东华大学,74,Donghua University,理工,否,0,0,0
91,中国地质大学（北京）,75,China University of Geosciences, Beijing,理工,是,0,1,0
92,中国矿业大学（北京）,76,China University of Mining and Technology-Beijing,理工,否,0,0,0
96,福州大学,77,Fuzhou University,理工,是,0,1,1
97,宁波大学,78,Ningbo University,综合,否,0,0,0
98,合肥工业大学,79,Hefei University of Technology,理工,否,0,0,0
99,华南师范大学,80,South China Normal University,师范,是,0,1,1
102,南京邮电大学,81,Nanjing University of Posts and Telecommunications,理工,否,0,0,0
104,江苏大学,82,Jiangsu University,综合,是,1,1,1
106,华北电力大学,83,North China Electric Power University,理工,是,0,1,0
108,长安大学,84,Chang'an University,理工,否,0,0,0
109,北京林业大学,85,Beijing Forestry University,林业,否,0,0,0
110,贵州大学,86,Guizhou University,综合,否,0,0,0
113,福建师范大学,87,Fujian Normal University,师范,否,0,0,0
114,湖南师范大学,88,Hunan Normal University,师范,否,0,0,0
115,广西大学,89,Guangxi University,综合,否,0,0,0
116,南京林业大学,90,Nanjing Forestry University,林业,是,0,1,1
117,扬州大学,91,Yangzhou University,综合,否,0,0,0
118,浙江师范大学,92,Zhejiang Normal University,师范,是,0,1,1
119,海南大学,93,Hainan University,综合,是,0,1,1
120,南京工业大学,94,Nanjing Tech University,理工,是,1,1,1
122,南京信息工程大学,95,Nanjing University of Information Science & Technology,理工,是,0,1,1
123,广东工业大学,96,Guangdong University of Technology,理工,是,0,1,1
124,杭州电子科技大学,97,Hangzhou Dianzi University,理工,否,0,0,0
126,安徽大学,98,Anhui University,综合,否,0,0,0
127,首都师范大学,99,Capital Normal University,师范,否,0,0,0
128,华南农业大学,100,South China Agricultural University,农业,否,0,0,0
